id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status
bomb-001,BTS Visits Mexico's National Palace,2026-05-27,2026-05-27,,Bangtan Bomb,Bangtan Bombs,,https://www.youtube.com/watch?v=WYNjY54wxnQ,https://img.youtube.com/vi/WYNjY54wxnQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,339,,active
bomb-002,[BANGTAN BOMB] j-hope’s SUMMER SWAG Sketch - BTS (방탄소년단),2025-08-03,2025-08-03,,Bangtan Bomb,Bangtan Bombs,,https://www.youtube.com/watch?v=KSYfAq4aoqQ,https://img.youtube.com/vi/KSYfAq4aoqQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1068,,active
bomb-003,"[BANGTAN BOMB] j-hope's ""Killin' It Girl (Solo Version)"" Challenge Sketch - BTS (방탄소년단)",2025-07-17,2025-07-17,,Bangtan Bomb,Bangtan Bombs,,https://www.youtube.com/watch?v=bB44S7CVVck,https://img.youtube.com/vi/bB44S7CVVck/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,800,,active
bomb-004,[BANGTAN BOMB] Jin's 'Find the Release Date' Shoot Sketch - BTS (방탄소년단),2025-05-02,2025-05-02,,Bangtan Bomb,Bangtan Bombs,,https://www.youtube.com/watch?v=MBc8iKnHFio,https://img.youtube.com/vi/MBc8iKnHFio/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,249,,active
bomb-005,"[BANGTAN BOMB] j-hope's ""Shanghai Romance"" Challenge Sketch - BTS (방탄소년단)",2025-03-31,2025-03-31,,Bangtan Bomb,Bangtan Bombs,,https://www.youtube.com/watch?v=odZpq8WxzS4,https://img.youtube.com/vi/odZpq8WxzS4/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,251,,active
bomb-006,"[BANGTAN BOMB] j-hope's ""Sweet Dreams (feat. Miguel)"" Challenge Sketch - BTS (방탄소년단)",2025-03-18,2025-03-18,,Bangtan Bomb,Bangtan Bombs,,https://www.youtube.com/watch?v=1LM6kQUHXns,https://img.youtube.com/vi/1LM6kQUHXns/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1280,,active
bomb-007,[BANGTAN BOMB] 진 (Jin) Special Fan Event Behind - BTS (방탄소년단),2025-01-17,2025-01-17,,Bangtan Bomb,Bangtan Bombs,,https://www.youtube.com/watch?v=kfM5Ay4oAac,https://img.youtube.com/vi/kfM5Ay4oAac/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,382,,active
bomb-008,"[BANGTAN BOMB] j-hope Joins 'Best Friend, Lee Hyun' as Guest - BTS (방탄소년단)",2024-12-26,2024-12-26,,Bangtan Bomb,Bangtan Bombs,,https://www.youtube.com/watch?v=e45xH0U6Olg,https://img.youtube.com/vi/e45xH0U6Olg/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,430,,active
bomb-009,[BANGTAN BOMB] 'Running Wild' Challenge Sketch with Jin and j-hope - BTS (방탄소년단),2024-11-20,2024-11-20,,Bangtan Bomb,Bangtan Bombs,,https://www.youtube.com/watch?v=wT6-vJA5Vuc,https://img.youtube.com/vi/wT6-vJA5Vuc/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,398,,active
bomb-010,[BANGTAN BOMB] j-hope Reunites with Jin at the Discharge Ceremony! - BTS (방탄소년단),2024-10-23,2024-10-23,,Bangtan Bomb,Bangtan Bombs,,https://www.youtube.com/watch?v=OeuVHzqu6rU,https://img.youtube.com/vi/OeuVHzqu6rU/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,152,,active
