id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status,view_count,like_count
episode-001,BTS WORLD TOUR ‘ARIRANG’ IN TOKYO Sketch,2026-06-23,2026-06-23,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=HD9TQigBMxk,https://img.youtube.com/vi/HD9TQigBMxk/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,947,,active,1808194,217057
episode-002,BTS 'American Music Awards 2026' Sketch,2026-06-22,2026-06-22,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=lXOyNftE2EM,https://img.youtube.com/vi/lXOyNftE2EM/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,507,,active,2155637,260520
episode-003,"BTS 'Hooligan', '2.0' Dance Practice Sketch",2026-06-18,2026-06-18,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=8AYxDDrG5uQ,https://img.youtube.com/vi/8AYxDDrG5uQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1062,,active,4157766,439533
episode-004,BTS WORLD TOUR ‘ARIRANG’ IN GOYANG Sketch,2026-05-22,2026-05-22,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=ZOj-K8-_PIc,https://img.youtube.com/vi/ZOj-K8-_PIc/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1316,,active,2761934,246492
episode-005,BTS 'ARIRANG' North America Promotions Sketch,2026-05-14,2026-05-14,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=9jI2CZ0bMuM,https://img.youtube.com/vi/9jI2CZ0bMuM/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1193,,active,2708721,271410
episode-006,BTS THE COMEBACK LIVE l ARIRANG Sketch,2026-05-09,2026-05-09,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=2K7R68DmAfE,https://img.youtube.com/vi/2K7R68DmAfE/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,976,,active,2547974,281381
episode-007,BTS ’SWIM’ Dance Practice Sketch,2026-04-21,2026-04-21,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=WOmHZv4USUs,https://img.youtube.com/vi/WOmHZv4USUs/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,702,,active,3533942,363417
episode-008,[Episode] 진 (Jin) 'RUNSEOKJIN_EP.TOUR' ENCORE - BTS (방탄소년단),2025-12-05,2025-12-05,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=0hH9gsprag8,https://img.youtube.com/vi/0hH9gsprag8/hqdefault.jpg,Jin,,2670,,active,1408840,133650
episode-009,[EPISODE] 진 (Jin) ‘RUNSEOKJIN_EP.TOUR’ in U.S. & EUROPE - BTS (방탄소년단),2025-09-27,2025-09-27,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=1ZcB3M7tMTQ,https://img.youtube.com/vi/1ZcB3M7tMTQ/hqdefault.jpg,Jin,,1640,,active,811116,86875
episode-010,[EPISODE] Behind the Scenes of V's First Pitch for the LA Dodgers - BTS (방탄소년단),2025-09-10,2025-09-10,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=4n7kVJ9-_BY,https://img.youtube.com/vi/4n7kVJ9-_BY/hqdefault.jpg,V,,456,,active,985880,128565
episode-011,[EPISODE] 진 (Jin) ‘RUNSEOKJIN_EP.TOUR’ in JAPAN - BTS (방탄소년단),2025-08-30,2025-08-30,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=5q9-MtXKhJM,https://img.youtube.com/vi/5q9-MtXKhJM/hqdefault.jpg,Jin,,1226,,active,707308,77127
episode-012,[EPISODE] j-hope Tour 'HOPE ON THE STAGE' Practice Sketch - BTS (방탄소년단),2025-08-21,2025-08-21,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=fIbuWN_gDsc,https://img.youtube.com/vi/fIbuWN_gDsc/hqdefault.jpg,J-Hope,,2251,,active,672680,80980
episode-013,[EPISODE] j-hope @ Lollapalooza Berlin 2025 - BTS (방탄소년단),2025-08-13,2025-08-13,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=sqCz07uaEwQ,https://img.youtube.com/vi/sqCz07uaEwQ/hqdefault.jpg,J-Hope,,1587,,active,553398,78564
episode-014,[EPISODE] 진 (Jin) 'RUNSEOKJIN_EP.TOUR' in GOYANG - BTS (방탄소년단),2025-07-24,2025-07-24,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=17TN_pzt6Z0,https://img.youtube.com/vi/17TN_pzt6Z0/hqdefault.jpg,Jin,,1897,,active,1357785,126957
episode-015,[EPISODE] j-hope Tour ‘HOPE ON THE STAGE’ FINAL - BTS (방탄소년단),2025-07-22,2025-07-22,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=rJJFFagT81Y,https://img.youtube.com/vi/rJJFFagT81Y/hqdefault.jpg,J-Hope,,1852,,active,1397446,157668
episode-016,[EPISODE] BTS (방탄소년단) ‘PERMISSION TO DANCE ON STAGE - LIVE’ Concept Photo Shoot Sketch,2025-07-21,2025-07-21,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=GXQRQ2vh9eA,https://img.youtube.com/vi/GXQRQ2vh9eA/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,573,,active,1590179,212319
episode-017,[EPISODE] 진 (Jin) 'RUNSEOKJIN_EP.TOUR' Practice Sketch - BTS (방탄소년단),2025-07-16,2025-07-16,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=PrXbgkjbWlE,https://img.youtube.com/vi/PrXbgkjbWlE/hqdefault.jpg,Jin,,708,,active,601829,88774
episode-018,[EPISODE] 진 (Jin) Coldplay Concert Guest Appearance Shoot Sketch - BTS (방탄소년단),2025-05-31,2025-05-31,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=SGFZMKXQICA,https://img.youtube.com/vi/SGFZMKXQICA/hqdefault.jpg,Jin,,902,,active,693024,85641
