id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status,view_count,like_count
on-air-001,BTS | FIFA World Cup 2026™ Final Halftime Show | Full Performance,2026-07-20,2026-07-20,,BTS On Air,BTS On Air,,https://www.youtube.com/watch?v=E3nWu1VgRJU,https://img.youtube.com/vi/E3nWu1VgRJU/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,111,,active,13139710,789116
on-air-002,BTS - NORMAL (Live at Pier 17) | Presented by Spotify,2026-06-03,2026-06-03,,BTS On Air,BTS On Air,,https://www.youtube.com/watch?v=6mguUpAdBbg,https://img.youtube.com/vi/6mguUpAdBbg/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,192,,active,2604050,81889
on-air-003,"BTS Performs ""Hooligan"" [52nd American Music Awards]",2026-05-26,2026-05-26,,BTS On Air,BTS On Air,,https://www.youtube.com/watch?v=Yv5ejF95E_A,https://img.youtube.com/vi/Yv5ejF95E_A/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,262,,active,6664154,255420
on-air-004,BTS - 2.0 (Live at Pier 17) | Presented by Spotify,2026-04-17,2026-04-17,,BTS On Air,BTS On Air,,https://www.youtube.com/watch?v=GctDTN14Eik,https://img.youtube.com/vi/GctDTN14Eik/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,191,,active,6176832,149591
on-air-005,BTS - SWIM (Live at Pier 17) | Presented by Spotify,2026-04-10,2026-04-10,,BTS On Air,BTS On Air,,https://www.youtube.com/watch?v=T1ZCE16gHiQ,https://img.youtube.com/vi/T1ZCE16gHiQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,163,,active,3769303,109494
on-air-006,BTS Breaks Another Record While Eating Spicy Wings | Hot Ones,2026-04-09,2026-04-09,,BTS On Air,BTS On Air,,https://www.youtube.com/watch?v=HYhyDjGhJEY,https://img.youtube.com/vi/HYhyDjGhJEY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1553,,active,17251133,1311441
on-air-007,BTS (방탄소년단) Answer The Web's Most Searched Questions | WIRED,2026-04-06,2026-04-06,,BTS On Air,BTS On Air,,https://www.youtube.com/watch?v=5lfnT1HdmuM,https://img.youtube.com/vi/5lfnT1HdmuM/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1589,,active,6341168,477138
on-air-008,BTS (방탄소년단) Teaches You Korean | Vogue,2026-04-03,2026-04-03,,BTS On Air,BTS On Air,,https://www.youtube.com/watch?v=h1WViLRSOSg,https://img.youtube.com/vi/h1WViLRSOSg/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,779,,active,2810492,303193
on-air-009,"BTS 정국과 지민, 추성훈 귀에서 SWIM한 날 (ft.사우나 힐링 풀코스)",2026-04-02,2026-04-02,,BTS On Air,BTS On Air,,https://www.youtube.com/watch?v=blxtdZKpq_U,https://img.youtube.com/vi/blxtdZKpq_U/hqdefault.jpg,Jimin|Jungkook,,2260,,active,4529671,335251
on-air-010,안녕하세요 BTS 뷔(V)입니다. 잘 부탁드립니다!,2026-03-29,2026-03-29,,BTS On Air,BTS On Air,,https://www.youtube.com/watch?v=5SGUwwewsNg,https://img.youtube.com/vi/5SGUwwewsNg/hqdefault.jpg,V,,3517,,active,3416734,138080
