id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status,view_count,like_count
dance-001,BTS 'Hooligan' Dance Practice,2026-04-14,2026-04-14,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=qWDNVP1pb48,https://img.youtube.com/vi/qWDNVP1pb48/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,189,,active,4803181,499584
dance-002,BTS '2.0' Dance Practice,2026-04-06,2026-04-06,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=A1nu9jg6ciY,https://img.youtube.com/vi/A1nu9jg6ciY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,178,,active,11818603,904968
dance-003,BTS 'SWIM' Dance Practice,2026-03-26,2026-03-26,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=uYcNZLJ3KmU,https://img.youtube.com/vi/uYcNZLJ3KmU/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,167,,active,9470089,888976
dance-004,[CHOREOGRAPHY] j-hope ‘Killin’ It Girl (Solo Version)’ Dance Practice (Wide ver.),2025-06-15,2025-06-15,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=hs2iI1F5pT4,https://img.youtube.com/vi/hs2iI1F5pT4/hqdefault.jpg,J-Hope,,151,,active,1671091,116257
dance-005,[CHOREOGRAPHY] j-hope ‘Killin’ It Girl (Solo Version)’ Dance Practice,2025-06-15,2025-06-15,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=-SuPSzWVUFo,https://img.youtube.com/vi/-SuPSzWVUFo/hqdefault.jpg,J-Hope,,151,,active,15894927,457971
dance-006,[CHOREOGRAPHY] j-hope ‘MONA LISA’ Dance Practice,2025-03-23,2025-03-23,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=rtkauA11n9M,https://img.youtube.com/vi/rtkauA11n9M/hqdefault.jpg,J-Hope,,142,,active,2412905,181891
dance-007,j-hope 'MONA LISA' Dance Practice IS OUT #jhope_MONALISA #jhope #제이홉,2025-03-23,2025-03-23,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=0MmyXxgUse0,https://img.youtube.com/vi/0MmyXxgUse0/hqdefault.jpg,J-Hope,,39,,active,4381875,416545
dance-008,j-hope 'on the street' & 'MORE' & 'MIC Drop' Live Performance Practice @ Le Gala des Pièces Jaunes,2025-01-31,2025-01-31,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=lS3_xwBO1Nw,https://img.youtube.com/vi/lS3_xwBO1Nw/hqdefault.jpg,J-Hope,,585,,active,1368213,209023
dance-009,#지민 (#Jimin) ‘Who’ Dance Practice 공개! #Jimin_Who #Jimin_MUSE,2024-07-25,2024-07-25,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=ldvcbO9-86Q,https://img.youtube.com/vi/ldvcbO9-86Q/hqdefault.jpg,Jimin,,48,,active,1942609,351699
dance-010,[CHOREOGRAPHY] 지민 (Jimin) ‘Who’ Dance Practice,2024-07-24,2024-07-24,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=xwADdJym_y4,https://img.youtube.com/vi/xwADdJym_y4/hqdefault.jpg,Jimin,,180,,active,19141769,550919
dance-011,[CHOREOGRAPHY] 정국 (Jung Kook) 'Standing Next to You' Dance Practice,2023-11-11,2023-11-11,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=M_EpTvMOnT0,https://img.youtube.com/vi/M_EpTvMOnT0/hqdefault.jpg,Jungkook,,211,,active,12287355,538271
dance-012,[CHOREOGRAPHY] 정국 (Jung Kook) '3D (feat. Jack Harlow)’ Dance Practice,2023-10-01,2023-10-01,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=XpDEEnZQxNU,https://img.youtube.com/vi/XpDEEnZQxNU/hqdefault.jpg,Jungkook,,173,,active,22440522,783524
dance-013,정국 (JungKook) 'Seven (feat. Latto)’ Dance Practice #정국 #JungKook #JungKook_Seven,2023-07-24,2023-07-24,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=4TzawWK2f3w,https://img.youtube.com/vi/4TzawWK2f3w/hqdefault.jpg,Jungkook,,61,,active,4710233,576146
dance-014,[CHOREOGRAPHY] 정국 (JungKook) 'Seven (feat. Latto)’ Dance Practice,2023-07-23,2023-07-23,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=TuhXw5UkG_g,https://img.youtube.com/vi/TuhXw5UkG_g/hqdefault.jpg,Jungkook,,194,,active,9316054,597272
dance-015,[CHOREOGRAPHY] Agust D ‘해금 (Haegeum)’ Dance Practice,2023-04-23,2023-04-23,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=0zN2YxoPnD8,https://img.youtube.com/vi/0zN2YxoPnD8/hqdefault.jpg,Suga,,98,,active,6627912,817063
dance-016,[CHOREOGRAPHY] 지민 (Jimin) 'Like Crazy' Dance Practice,2023-03-25,2023-03-25,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=uatW2Phormk,https://img.youtube.com/vi/uatW2Phormk/hqdefault.jpg,Jimin,,203,,active,11889962,787529
dance-017,[CHOREOGRAPHY] 지민 (Jimin) ‘Set Me Free Pt.2’ Dance Practice,2023-03-18,2023-03-18,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=Ru78tYO_vJA,https://img.youtube.com/vi/Ru78tYO_vJA/hqdefault.jpg,Jimin,,215,,active,13137916,1113222
dance-018,[CHOREOGRAPHY] j-hope ‘MORE’ Dance Practice (MAMA 2022 ver.),2022-12-07,2022-12-07,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=H26Jg_eMqBM,https://img.youtube.com/vi/H26Jg_eMqBM/hqdefault.jpg,J-Hope,,209,,active,2951502,429052
dance-019,[CHOREOGRAPHY] BTS (방탄소년단) '달려라 방탄 (Run BTS)' Dance Practice,2022-11-13,2022-11-13,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=aqW4xXUgmno,https://img.youtube.com/vi/aqW4xXUgmno/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,210,,active,179694064,4211354
dance-020,[CHOREOGRAPHY] BTS 'Dynamite (Tropical Remix)' Dance Practice (Lolla 2022 j-hope ver.),2022-08-04,2022-08-04,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=9k9mSleSFZo,https://img.youtube.com/vi/9k9mSleSFZo/hqdefault.jpg,J-Hope,,230,,active,6462514,686589
dance-021,[CHOREOGRAPHY] j-hope 'Hope World' Dance Practice (Lolla 2022 ver.),2022-08-04,2022-08-04,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=1H9JRRp70k4,https://img.youtube.com/vi/1H9JRRp70k4/hqdefault.jpg,J-Hope,,214,,active,3287679,437988
dance-022,[CHOREOGRAPHY] BTS (방탄소년단) ‘Butter (Holiday Remix)’ Dance Practice,2021-12-23,2021-12-23,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=S50SYJbyXY4,https://img.youtube.com/vi/S50SYJbyXY4/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,175,,active,41968103,3098554
dance-023,[CHOREOGRAPHY] Jin of BTS ‘슈퍼 참치’ Special Performance Video,2021-12-04,2021-12-04,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=cQA7VKSvXFM,https://img.youtube.com/vi/cQA7VKSvXFM/hqdefault.jpg,Jin,,73,,active,106045818,5726785
dance-024,[CHOREOGRAPHY] BTS (방탄소년단) 'Butter (feat. Megan Thee Stallion)' Special Performance Video,2021-09-09,2021-09-09,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=IkeZX2hnoOk,https://img.youtube.com/vi/IkeZX2hnoOk/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,69,,active,81668789,5352560
dance-025,[CHOREOGRAPHY] BTS (방탄소년단) 'Butter' Special Performance Video,2021-05-30,2021-05-30,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=DbXMjAYSa68,https://img.youtube.com/vi/DbXMjAYSa68/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,177,,active,406156766,8621694
dance-026,[CHOREOGRAPHY] BTS (방탄소년단) 'Permission to Dance' Dance Practice,2021-07-13,2021-07-13,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=0xSFPome3Tc,https://img.youtube.com/vi/0xSFPome3Tc/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,195,,active,72696428,3179527
dance-027,[CHOREOGRAPHY] BTS (방탄소년단) ‘Dynamite’ Dance Practice (Cute & Lovely ver.) #2021BTSFESTA,2021-06-04,2021-06-04,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=WhDsAW1ZzZ8,https://img.youtube.com/vi/WhDsAW1ZzZ8/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,206,,active,62564812,2753762
dance-028,[CHOREOGRAPHY] BTS (방탄소년단) 2020 MMA 'Black Swan' Intro Performance Dance Practice #2021BTSFESTA,2021-06-03,2021-06-03,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=-zyxlQtoQFQ,https://img.youtube.com/vi/-zyxlQtoQFQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,121,,active,8024447,1398022
dance-029,[CHOREOGRAPHY] BTS (방탄소년단) 'N.O' Dance Practice (MOS ON:E dance break ver.) #2021BTSFESTA,2021-06-03,2021-06-03,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=fz_2QCDuUJw,https://img.youtube.com/vi/fz_2QCDuUJw/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,81,,active,13503063,1867824
dance-030,[CHOREOGRAPHY] BTS (방탄소년단) 'Butter' Dance Practice,2021-05-25,2021-05-25,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=ujf3iJoWgrM,https://img.youtube.com/vi/ujf3iJoWgrM/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,172,,active,69023442,3919226
dance-031,[CHOREOGRAPHY] BTS (방탄소년단) 2020 MMA 'Dynamite' Dance Break Practice,2020-12-19,2020-12-19,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=uBZXCkwCKxw,https://img.youtube.com/vi/uBZXCkwCKxw/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,231,,active,62260943,2882627
dance-032,[CHOREOGRAPHY] BTS (방탄소년단) 2020 MAMA ‘ON’ Dance Practice,2020-12-17,2020-12-17,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=81sNq45I48s,https://img.youtube.com/vi/81sNq45I48s/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,367,,active,29647244,1747425
dance-033,[CHOREOGRAPHY] BTS (방탄소년단) 'Dynamite' Dance Practice,2020-09-02,2020-09-02,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=CN4fffh7gmk,https://img.youtube.com/vi/CN4fffh7gmk/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,206,,active,144033174,4840533
dance-034,[CHOREOGRAPHY] BTS (방탄소년단) 2018 MAMA Performance Practice (Formation Check ver.) #2020BTSFESTA,2020-06-07,2020-06-07,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=j6Ukt6x-cXI,https://img.youtube.com/vi/j6Ukt6x-cXI/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,426,,active,11320060,1477175
