id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status,view_count,like_count
mv-001,BTS (방탄소년단) ‘NORMAL’ Official Teaser,2026-07-15,2026-07-15,,MV,MVs,,https://www.youtube.com/watch?v=5ZLMJyoJIsk,https://img.youtube.com/vi/5ZLMJyoJIsk/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,21,,active,4731714,719063
mv-002,BTS (방탄소년단) 'Hooligan' Official Performance Video,2026-06-04,2026-06-04,,MV,MVs,,https://www.youtube.com/watch?v=Zv6JKobJyFY,https://img.youtube.com/vi/Zv6JKobJyFY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,196,,active,15226635,877632
mv-003,BTS (방탄소년단) 'Hooligan' Official MV,2026-04-07,2026-04-07,,MV,MVs,,https://www.youtube.com/watch?v=diBO0gMuTXo,https://img.youtube.com/vi/diBO0gMuTXo/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,244,,active,76091820,3228592
mv-004,BTS (방탄소년단) '2.0' Official MV,2026-04-01,2026-04-01,,MV,MVs,,https://www.youtube.com/watch?v=_gyultVTesk,https://img.youtube.com/vi/_gyultVTesk/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,235,,active,141417559,4621564
mv-005,BTS (방탄소년단) '2.0' Official Teaser,2026-03-31,2026-03-31,,MV,MVs,,https://www.youtube.com/watch?v=O_UAV5Ckr-g,https://img.youtube.com/vi/O_UAV5Ckr-g/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,30,,active,5371907,898219
mv-006,BTS (방탄소년단) 'SWIM' Official Performance Video,2026-03-24,2026-03-24,,MV,MVs,,https://www.youtube.com/watch?v=h-Y97xErGL8,https://img.youtube.com/vi/h-Y97xErGL8/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,172,,active,55156614,2073180
mv-007,BTS (방탄소년단) ‘SWIM’ Official MV,2026-03-20,2026-03-20,,MV,MVs,,https://www.youtube.com/watch?v=b4iVv91Z6lY,https://img.youtube.com/vi/b4iVv91Z6lY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,245,,active,143360553,6694453
mv-008,BTS (방탄소년단) ‘SWIM’ Official Teaser 2,2026-03-18,2026-03-18,,MV,MVs,,https://www.youtube.com/watch?v=fQbEuS9GO3E,https://img.youtube.com/vi/fQbEuS9GO3E/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,27,,active,9773994,1176906
mv-009,BTS (방탄소년단) ‘SWIM’ Official Teaser 1,2026-03-17,2026-03-17,,MV,MVs,,https://www.youtube.com/watch?v=GuPhSLBYOeg,https://img.youtube.com/vi/GuPhSLBYOeg/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,17,,active,7319591,1205081
mv-010,j-hope ‘Killin' It Girl (Solo Version)’ Official MV (Choreography ver.),2025-06-15,2025-06-15,,MV,MVs,,https://www.youtube.com/watch?v=HK3LjI2InOg,https://img.youtube.com/vi/HK3LjI2InOg/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,159,,active,110437404,1424389
mv-011,j-hope 'Killin' It Girl (feat. GloRilla)' MV IS OUT! #jhope #제이홉 #jhope_KillinItGirl,2025-06-13,2025-06-13,,MV,MVs,,https://www.youtube.com/watch?v=0Tf069AAcXM,https://img.youtube.com/vi/0Tf069AAcXM/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,19,,active,933593,78261
mv-012,j-hope ‘Killin' It Girl (feat. GloRilla)’ Official MV,2025-06-13,2025-06-13,,MV,MVs,,https://www.youtube.com/watch?v=q9leDzlNEaY,https://img.youtube.com/vi/q9leDzlNEaY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,169,,active,55449870,2326516
mv-013,j-hope ‘Killin' It Girl (feat. GloRilla)’ Official Teaser,2025-06-08,2025-06-08,,MV,MVs,,https://www.youtube.com/watch?v=XYUx2JNDmVA,https://img.youtube.com/vi/XYUx2JNDmVA/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,25,,active,2765699,366047
mv-014,j-hope 'Charm of HOPE' Concept Film,2025-05-28,2025-05-28,,MV,MVs,,https://www.youtube.com/watch?v=hIoGekC6GQc,https://img.youtube.com/vi/hIoGekC6GQc/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,84,,active,946177,211006
mv-015,#진 (#Jin) 'Don’t Say You Love Me' MV OUT NOW #Jin_Echo #Dont_Say_You_Love_Me,2025-05-16,2025-05-16,,MV,MVs,,https://www.youtube.com/watch?v=hDqRAGR2Elk,https://img.youtube.com/vi/hDqRAGR2Elk/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,31,,active,698492,63830
mv-016,진 (Jin) 'Don't Say You Love Me' Official MV,2025-05-16,2025-05-16,,MV,MVs,,https://www.youtube.com/watch?v=o7BcyAd6rqg,https://img.youtube.com/vi/o7BcyAd6rqg/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,206,,active,51002141,1880842
mv-017,진 (Jin) 'Don't Say You Love Me' Official Teaser,2025-05-13,2025-05-13,,MV,MVs,,https://www.youtube.com/watch?v=WU_9OETw0eM,https://img.youtube.com/vi/WU_9OETw0eM/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,38,,active,2739192,352118
mv-018,진 (Jin) ‘Echo’ Highlight Medley,2025-05-11,2025-05-11,,MV,MVs,,https://www.youtube.com/watch?v=XyN02FY0Cf0,https://img.youtube.com/vi/XyN02FY0Cf0/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,117,,active,1281373,192137
mv-019,j-hope 'MONA LISA' MV OUT NOW #jhope #제이홉 #jhope_MONALISA,2025-03-21,2025-03-21,,MV,MVs,,https://www.youtube.com/watch?v=1iYPrf97q2g,https://img.youtube.com/vi/1iYPrf97q2g/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,45,,active,1867296,233796
mv-020,j-hope ‘MONA LISA’ Official MV,2025-03-21,2025-03-21,,MV,MVs,,https://www.youtube.com/watch?v=ECqGCH1TfLY,https://img.youtube.com/vi/ECqGCH1TfLY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,165,,active,90632404,2090093
mv-021,j-hope ‘MONA LISA’ Official Teaser,2025-03-18,2025-03-18,,MV,MVs,,https://www.youtube.com/watch?v=auHoG1cLxrk,https://img.youtube.com/vi/auHoG1cLxrk/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,32,,active,1842529,292044
mv-022,j-hope 'Sweet Dreams (feat. Miguel)' MV OUT NOW #jhope #제이홉 #jhope_SweetDreams,2025-03-07,2025-03-07,,MV,MVs,,https://www.youtube.com/watch?v=-JlLU6JxWNw,https://img.youtube.com/vi/-JlLU6JxWNw/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,31,,active,414252,79499
